Blog	following	worth	personal	earlier	act	anyway	loud	starting	bill	apart	woman	son	history	shot	feet	main	musical	missing	performance	however	friday	pick	mostly	guys	opening	recently	dog	phone	tom	present	punk	title	quality	yesterday	film	view	energy	saying	turns	caught	evening	stuck	type	y	means	london	social	river	singing	due	beyond	possible	seemed	funny	reading	brothers	usually	wonderful	f	itself	albums	share	dancing	needed	tomorrow	key	bed	understand	fresh	fans	wall	asked	aren	built	alive	lead	l	tried	popular	saturday	electric	heads	seeing	bright	large	happened	mountain	noise	company	august	wrote	joy	wind	theme	throughout	create	previous	awesome	themselves	classic	nights	lights	starts	bear	brown	english	june	wants	festival	hits	flying	perhaps	recent	lady	towards	himself	weird	september	important	public	add	birthday	changed	closer	fit	huge	poor	meet	father	hair	quickly	solo	g	current	sex	smith	tree	brought	meant	photo	happen	stories	copy	college	van	building	clean	quick	internet	george	parts	seven	leaving	fair	sister	fight	robert	shit	spend	greatest	added	magic	ghost	truly	jack	dreams	holding	heaven	plays	pay	crowd	bottom	learn	problem	april	date	kept	ep	audience	continue	ends	ain	floor	thoughts	station	human	tune	certain	business	collection	longer	review	various	golden	despite	question	action	plan	animal	totally	giving	food	reasons	system	peter	february	snow	brother	july	debut	season	pieces	lucky	catch	nature	scott	ended	camera	fuck	hill	million	acoustic	co	december	hall	buy	memories	worked	voices	usual	features	members	christmas	v	smile	indie	lack	non	using	fantastic	round	october	spirit	letter	keeping	missed	link	secret	putting	enjoyed	studio	steve	total	older	gives	billy	falling	eventually	amount	definitely	soft	driving	serious	simply	era	met	entire	joe	imagine	liked	ice	streets	inspired	concert	tired	beauty	color	speak	jones	women	pure	choice	series	november	jam	america	michael	likely	nobody	setting	peace	folk	cry	difficult	possibly	section	w	doubt	grow	drums	island	material	names	cross	south	certainly	picked	mid	underground	mike	normal	queen	hoping	seriously	paper	drop	grand	although	afternoon	miles	hopefully	figure	surprise	cd	moments	ok	general	matt	lonely	hotel	whether	slightly	area	edge	pass	land	process	safe	easily	vocals	pictures	north	leaves	holiday	press	weather	spot	bird	led	anymore	fell	example	vs	lee	nowhere	guitars	covers	ray	particular	calling	hi	similar	store	nick	rare	wine	drum	minor	recorded	string	brain	sign	featured	nearly	recording	biggest	onto	expect	wanna	hop	tears	richard	everybody	mention	service	learned	tiny	among	happens	female	level	featuring	mood	information	standing	ground	bass	pre	breaking	damn	perfectly	opportunity	apparently	weren	drugs	brian	brings	coast	rough	event	arms	lake	burning	brand	size	highly	books	empty	beats	jazz	rose	ball	ii	several	except	orange	table	interview	january	answer	regular	ideas	surprised	east	rolling	odd	included	career	began	trouble	begin	smart	ryan	interest	somehow	sitting	absolutely	planet	incredible	points	growing	bunch	natural	eat	chris	glad	glass	society	california	hearts	dirty	mouth	production	label	excellent	ocean	fourth	period	hurt	kiss	attack	burn	dropped	member	support	uk	frank	rhythm	obvious	hearing	focus	sonic	garage	honest	movement	build	hip	became	dave	followed	hang	promise	image	turning	site	cannot	los	managed	finished	finding
A Day in the Life of...Me!!	0	1	2	3	1	21	0	4	2	1	0	0	3	2	2	4	0	1	1	3	23	6	3	3	3	1	0	0	0	1	1	1	5	6	1	5	2	2	1	2	8	2	2	1	1	0	1	1	3	9	2	6	0	3	4	0	2	10	10	3	0	0	3	13	10	2	4	0	1	5	0	5	1	0	0	0	0	2	1	14	0	0	2	2	4	9	0	0	2	13	0	2	1	0	5	1	0	4	0	1	0	3	1	0	0	2	2	1	2	0	0	0	1	1	0	1	1	7	0	0	2	17	9	1	4	4	0	12	1	13	5	0	0	4	0	1	9	2	2	24	5	0	2	3	0	19	5	5	2	1	0	0	3	4	3	0	0	0	5	4	2	0	1	3	0	0	0	0	0	1	6	0	7	5	5	1	2	0	0	0	1	2	7	1	6	0	0	2	0	0	3	5	0	0	0	0	1	5	1	2	0	16	1	0	2	2	5	2	4	0	4	0	0	1	0	1	37	4	0	3	0	0	0	12	0	7	2	1	0	9	0	0	6	0	3	1	0	2	0	1	1	3	0	0	0	4	3	0	0	4	0	3	2	1	1	0	0	3	1	6	1	2	0	0	6	12	0	1	0	1	1	4	4	9	4	1	3	1	0	1	0	2	1	1	0	1	1	0	0	0	0	0	3	0	2	1	2	0	2	0	3	0	0	1	5	0	2	2	1	0	2	0	3	0	0	0	6	14	3	11	2	3	0	0	1	0	1	1	2	31	1	3	11	0	1	1	1	2	1	0	3	7	0	8	0	12	1	0	1	3	1	0	0	0	1	0	0	0	4	0	5	0	7	1	1	4	0	2	0	0	0	9	0	0	1	0	1	1	0	2	0	0	0	0	2	2	0	0	1	0	1	2	2	3	1	1	0	2	0	1	1	4	3	3	0	0	2	2	0	5	0	0	0	0	2	3	1	0	0	10	1	0	0	0	5	0	1	0	13	0	1	1	1	9	0	0	1	0	6	1	3	0	0	0	1	3	0	0	4	0	1	0	0	11	0	9	1	0	0	0	0	0	0	0	3	0	0	2	1	2	0	1	6	1	1	0	0	0	0	0	1	0	1	0	1	1	0	1	0	0	2	2	0	0	4	0	0	8	1	5
One Stunning Single Egg	0	0	0	0	1	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	1	0	0	0	0	0	1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	1	0	0	0	2	2	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	2	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	2	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	6	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	3	1	0	1	2	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	2	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	1	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	1	1	4	0	0	2	0	0	0	0	0	1	0	0	0	0	1	2	0	2	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	2	0	2	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	1	1	0	0	1	0	0	0	0
Room 19's Blog 2016	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	2	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0
Time Is Poetry	1	4	0	3	1	7	3	4	0	8	2	2	3	7	6	0	0	4	1	3	1	3	2	0	2	1	2	3	0	4	0	2	0	2	0	9	2	8	6	10	1	6	0	2	2	0	0	6	7	0	0	2	2	2	4	1	2	3	1	3	0	4	1	2	8	1	14	7	1	0	3	3	7	2	2	3	0	11	0	1	0	6	6	7	0	1	1	3	5	1	13	2	17	1	0	1	0	0	1	0	8	7	2	11	1	0	1	0	0	1	2	2	0	1	4	2	3	0	1	1	0	0	1	10	1	0	0	9	0	9	1	0	1	0	5	13	2	1	6	0	0	9	0	0	1	0	9	2	0	0	2	5	4	8	1	4	0	8	3	1	0	4	10	2	0	13	12	11	6	5	0	1	4	1	1	3	9	0	0	0	2	18	4	4	4	0	9	2	1	0	5	0	2	0	3	2	0	3	0	3	1	0	0	0	0	3	6	9	3	0	1	0	2	8	0	0	1	0	4	0	1	0	0	4	0	1	7	1	6	2	0	0	1	0	14	0	2	0	0	0	13	1	1	4	8	3	1	7	0	0	0	0	0	1	2	0	11	3	0	0	13	1	2	3	0	3	4	0	2	1	3	1	0	0	6	6	7	6	1	0	0	3	1	1	0	0	0	0	4	1	9	2	2	0	0	0	0	5	3	0	0	0	1	7	2	1	1	0	2	0	2	2	2	2	6	2	0	0	3	14	3	3	3	0	8	0	0	0	7	0	5	5	2	7	8	4	3	5	4	0	0	1	6	0	0	0	3	4	7	8	12	1	0	0	4	0	2	1	0	4	0	1	1	0	4	5	0	1	0	0	14	0	0	1	0	0	5	1	6	1	5	0	7	0	1	2	4	4	4	0	1	0	0	0	2	16	1	1	1	3	0	0	1	1	1	0	0	14	4	2	18	1	4	12	0	0	10	6	3	3	1	3	1	2	3	2	8	0	1	3	0	2	2	3	0	0	0	0	1	7	7	2	0	0	7	5	1	7	0	1	6	0	0	1	0	1	8	0	1	9	2	15	0	0	0	3	0	1	10	15	0	11	0	0	1	0	3	3	0	3	2	0	0	1	0	3	0	1	0	1	3	10	1	2	0	10	0	0	0	3
this time tomorrow	0	1	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	2	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	2	0	0	0	0
A Wife's Tale	4	19	8	8	2	87	3	15	4	16	22	15	8	9	12	3	0	14	0	126	16	5	16	22	2	14	66	34	0	4	2	1	2	58	0	5	5	19	11	12	5	6	7	0	45	20	6	6	0	19	10	9	6	13	35	6	6	51	5	4	0	25	2	14	43	2	20	15	6	1	0	21	14	1	10	5	4	10	2	17	2	5	13	4	11	22	3	0	9	7	2	22	1	0	2	0	3	76	5	1	4	0	5	4	2	6	5	19	2	3	3	22	7	11	0	16	27	4	24	3	12	20	23	16	10	4	8	14	40	11	11	0	0	5	1	0	5	8	4	41	26	8	2	32	0	2	8	5	7	5	9	2	16	13	25	7	0	0	24	5	4	3	1	31	4	11	9	5	4	27	4	1	27	5	2	17	11	0	0	10	4	5	9	9	5	11	1	7	7	0	10	2	10	2	2	8	4	15	2	7	18	31	4	7	3	5	1	26	9	1	1	6	16	10	6	1	9	10	0	2	5	0	2	3	1	14	9	10	0	6	1	8	15	3	15	0	8	8	4	2	14	4	3	5	8	11	2	7	5	8	0	0	3	9	8	0	0	11	14	18	4	5	5	6	0	18	26	1	36	4	1	6	2	2	22	3	7	19	0	15	6	5	6	2	0	2	0	4	2	1	4	0	9	9	16	5	0	5	10	0	9	3	0	4	14	13	7	1	2	0	14	3	4	35	5	5	6	2	8	6	14	2	4	1	24	3	5	3	3	6	2	1	10	1	8	1	3	13	2	0	29	6	9	2	0	9	10	1	7	15	6	13	0	1	0	0	0	2	8	11	2	4	6	0	2	2	0	3	0	0	10	6	2	11	2	7	7	8	14	3	8	0	0	18	4	37	13	3	10	3	8	1	1	6	2	4	0	2	5	3	6	15	29	9	0	0	7	3	4	2	13	8	5	4	3	3	15	1	3	1	1	12	4	18	5	1	4	11	5	12	2	2	5	4	2	0	1	7	13	2	20	4	23	6	4	24	22	7	2	4	12	1	9	21	1	37	4	3	4	1	2	10	0	0	6	4	2	3	9	12	0	2	8	7	16	0	1	1	8	7	4	0	3	8	3	5	4	7	2	3	6	10	5	5	0	31	0	1	17	9
Karl Drinkwater	0	2	8	1	0	5	0	0	0	0	3	0	0	0	0	10	0	0	2	4	0	1	2	0	0	8	4	1	0	1	0	7	3	1	3	3	0	2	0	0	5	2	1	0	4	1	3	0	0	0	0	6	1	1	3	0	1	0	1	2	1	4	2	0	0	3	2	0	1	5	1	3	1	2	0	1	0	3	2	0	0	0	0	1	5	1	0	0	1	0	7	0	1	0	3	6	2	0	0	1	3	1	1	0	1	4	0	0	3	1	0	2	2	0	1	1	1	0	4	0	5	0	3	0	2	4	0	1	2	0	1	0	7	1	0	0	1	1	7	1	1	39	2	4	0	2	1	2	1	0	2	1	2	0	0	0	1	0	2	0	0	1	2	0	0	1	0	0	1	6	0	2	9	4	0	3	3	0	2	4	0	0	0	2	0	8	2	0	1	20	1	4	8	0	6	4	0	1	5	5	3	3	0	5	1	0	0	0	0	0	0	2	1	1	0	1	1	0	0	0	2	0	0	0	1	2	1	2	2	1	2	0	1	0	2	1	0	1	4	2	1	0	3	3	2	0	2	0	0	2	0	0	0	5	1	0	0	2	3	1	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	3	4	0	0	0	1	0	5	1	0	0	1	2	2	0	3	1	1	1	0	3	0	0	0	0	0	0	0	0	1	1	0	0	2	1	7	2	0	3	0	0	2	0	1	3	0	1	1	0	3	1	0	1	1	3	1	1	0	0	0	0	1	0	0	5	0	3	0	2	4	1	0	0	0	1	0	5	0	3	2	0	3	1	3	0	1	0	0	0	2	1	1	1	2	2	0	0	0	1	1	0	1	0	2	0	0	0	1	0	0	0	2	0	0	1	1	1	1	1	3	0	0	0	0	0	0	0	7	0	0	1	0	0	1	27	1	0	0	0	1	0	0	0	1	2	4	0	2	2	4	2	0	1	0	5	1	2	1	1	0	0	0	0	0	0	1	1	4	3	0	3	2	1	0	2	0	0	0	1	2	0	0	2	0	0	1	0	0	0	0	0	0	1	11	0	0	3	0	3	0	0	0	0	1	0	5	0	1	0	0	4	0	5	0	0	0	0	3
In the Frame Film Reviews	34	57	13	10	12	7	14	15	21	6	31	22	12	16	12	43	13	9	66	62	8	17	8	5	73	11	10	17	39	55	15	35	42	6	224	31	13	22	15	15	7	11	8	2	21	6	9	6	9	20	10	16	11	37	46	4	24	28	2	22	77	19	5	19	5	19	14	46	5	43	14	12	39	17	11	11	8	20	13	5	8	16	66	5	37	14	5	7	11	8	24	26	13	28	31	9	21	4	12	11	14	14	14	8	15	20	3	42	4	4	4	35	14	3	9	23	17	4	63	3	20	1	19	10	54	28	7	16	36	16	16	3	11	8	11	23	8	6	12	7	28	31	4	3	4	491	9	4	3	11	33	23	5	11	13	11	12	80	47	1	12	7	8	12	21	6	3	14	25	13	9	39	36	18	1	11	6	9	44	12	25	48	0	31	4	31	4	28	8	25	32	178	16	6	32	16	73	15	5	18	22	11	22	8	22	1	8	15	0	14	52	2	29	7	29	9	12	4	24	14	12	4	3	5	53	25	14	24	17	14	41	8	5	3	16	2	11	5	18	21	51	3	8	5	8	46	11	6	4	21	43	5	10	18	30	13	9	36	10	37	7	35	33	24	5	18	27	14	56	14	51	1	4	58	9	29	11	10	10	18	7	51	100	4	8	13	16	15	9	9	1	0	1	34	12	13	4	25	9	23	6	3	9	6	72	34	14	2	0	4	59	11	16	13	24	3	7	71	2	20	2	15	9	11	26	1	12	11	6	8	50	7	1	10	16	15	8	8	36	100	2	11	18	3	5	3	24	6	6	0	12	19	31	10	4	15	5	76	30	1	1	45	20	8	5	0	9	10	11	0	42	6	7	3	4	22	7	34	31	0	9	14	19	34	10	13	39	21	14	3	14	15	60	23	9	32	34	1	18	50	31	15	13	8	5	3	7	2	2	3	1	0	4	20	91	14	13	4	0	2	6	3	4	37	2	5	59	3	2	14	10	28	25	5	8	5	10	28	15	20	19	7	2	17	22	15	11	48	40	15	9	1	23	10	15	15	0	12	0	11	13	23	8	6	34	50	5	3	5	4	3	8	3	8	8	13	12	15	21	25	20	27	1	17	3	13	1	11	1	12	2	9	13	6	113	8	2	10	3	10
ΜΕΣΑ ΣΤΗ ΒΡΩΜΙΑ	0	0	1	0	0	0	0	0	16	2	7	2	4	2	2	3	0	2	0	0	0	4	0	0	3	0	8	1	38	0	2	2	0	9	3	2	1	0	1	0	0	3	0	4	0	2	1	6	0	0	3	0	0	2	0	7	0	2	2	0	0	0	0	0	1	2	3	0	0	0	1	2	0	2	0	0	59	0	0	3	10	8	0	6	0	2	11	1	1	0	1	10	5	24	0	0	0	0	0	0	2	6	0	1	23	1	2	0	3	0	20	0	0	17	0	1	5	0	0	10	0	2	0	3	0	0	1	0	1	4	0	4	8	0	4	12	4	0	0	0	1	1	0	0	15	0	1	0	0	3	0	0	3	0	3	3	5	2	3	2	0	7	17	0	9	2	0	6	0	0	0	2	0	0	1	0	0	5	0	0	1	12	2	4	3	0	2	3	1	0	1	0	0	5	0	0	0	1	4	0	1	2	4	1	1	0	0	5	2	0	2	3	0	3	1	29	0	2	1	7	0	1	0	1	3	0	2	0	2	0	0	0	0	5	2	0	0	0	0	2	3	1	1	2	2	0	33	1	0	0	0	9	0	0	0	15	1	0	0	0	3	0	0	0	0	0	0	13	0	0	2	4	0	0	6	3	0	5	20	1	3	0	0	0	5	1	3	0	5	0	1	0	4	0	0	1	2	0	0	2	1	0	0	2	1	0	0	0	7	6	0	4	0	0	7	4	2	0	1	23	0	0	0	0	3	0	0	2	8	1	0	0	0	2	0	8	1	0	0	0	1	1	3	5	2	0	2	8	0	2	2	0	2	27	2	0	0	4	0	3	3	0	0	20	0	5	4	3	0	3	2	4	0	0	0	0	1	0	2	0	6	2	0	0	0	1	0	0	1	0	0	0	5	4	0	1	2	1	4	0	0	0	0	0	2	13	2	1	0	0	1	1	5	3	3	0	0	1	4	29	4	2	14	2	0	1	0	0	0	0	0	0	0	1	3	1	0	0	0	3	0	0	0	0	0	0	0	6	4	1	0	0	3	0	1	0	3	3	1	5	8	1	0	0	0	3	0	0	2	6	7	1	1	0	0	0	2	4	0	0	1	12	1	0	2	6	0	0	7	0	6	2	7	0	3	0	0	0	0	1
F-Measure	3	10	4	15	4	5	7	9	6	8	9	3	13	5	8	4	7	9	9	7	2	5	16	7	8	18	3	2	7	6	44	22	11	8	35	2	4	7	13	2	1	7	1	3	9	5	4	2	7	4	8	7	4	2	12	22	0	0	4	17	1	4	1	0	6	0	2	3	5	11	6	6	8	4	1	22	4	2	20	5	7	0	1	1	4	11	0	1	1	2	7	11	5	18	1	3	16	1	10	28	4	1	6	0	1	5	5	7	4	8	2	23	10	4	2	2	3	1	7	5	6	11	9	3	3	6	2	1	14	3	3	16	31	4	10	9	4	4	5	0	2	7	11	28	14	6	4	11	1	8	12	11	5	8	6	6	9	3	2	5	4	4	6	2	2	7	3	11	4	1	3	1	7	9	1	2	1	55	12	4	1	8	2	1	6	1	1	4	3	32	8	121	16	2	11	7	3	2	2	1	7	1	3	0	4	0	1	4	4	24	2	3	4	11	1	14	7	12	2	3	0	10	4	1	5	5	3	3	4	2	16	13	3	5	22	7	3	14	4	0	1	3	1	3	4	6	33	0	2	4	76	5	2	3	4	0	5	16	5	0	3	11	5	24	11	0	30	13	6	11	10	2	8	48	4	0	1	5	7	2	2	11	7	4	5	3	7	4	7	2	2	10	7	2	8	3	7	6	3	7	7	29	3	8	4	5	1	15	4	10	2	4	6	3	5	2	3	60	2	9	2	6	8	31	4	16	6	5	7	7	5	10	3	1	4	10	2	11	12	24	1	2	2	1	4	1	3	2	2	0	1	18	12	10	1	1	16	1	3	9	3	16	4	1	7	0	5	7	28	2	0	1	18	25	21	13	4	2	5	11	1	2	2	12	1	10	6	1	0	4	6	12	1	0	3	7	8	5	2	0	3	3	22	3	0	9	3	5	0	2	2	4	1	0	5	2	4	4	5	12	2	0	4	14	2	4	1	7	0	2	2	1	11	2	6	2	4	15	4	0	2	4	1	4	11	1	5	0	0	6	7	4	0	4	2	6	8	0	7	3	0	1	16	18	22	1	5	3	2	4	1	3	1	8	3	11	2	1	7	11	6	8	3	3	1	3	12	13	9	4	3	2	6	2	4	2	1	3	1	3
Cherry Area	4	7	9	5	8	7	2	2	4	2	10	6	5	7	5	1	1	0	4	6	1	10	5	4	1	7	6	4	3	7	1	4	3	3	2	3	2	11	3	2	7	2	2	0	9	1	6	0	4	2	1	6	6	11	7	7	5	2	0	18	1	1	0	8	0	3	8	11	2	1	4	6	8	9	5	5	2	5	3	1	3	3	5	2	3	5	3	1	2	1	11	1	2	4	1	8	2	5	4	2	0	0	4	2	6	2	2	3	1	1	6	13	12	2	5	13	8	1	10	8	4	0	2	4	2	4	2	2	6	3	3	1	4	3	1	3	0	5	5	2	6	1	0	4	5	4	2	2	2	2	6	4	1	3	3	4	2	18	3	4	2	1	1	2	1	0	2	0	2	5	1	3	4	7	2	1	2	0	3	6	2	9	3	10	1	4	0	10	3	2	8	2	4	2	5	8	6	5	2	4	7	3	5	10	4	2	0	5	2	3	2	3	5	0	9	0	3	2	5	1	6	0	4	2	3	0	0	6	2	3	3	3	1	2	1	0	2	9	9	1	0	3	4	4	2	3	2	0	4	4	4	2	0	5	3	3	3	4	2	1	6	1	4	8	3	4	3	0	3	5	2	1	3	0	2	7	5	0	0	4	1	2	4	0	0	5	6	10	9	1	2	3	1	0	0	2	4	6	1	2	2	4	4	1	5	5	3	2	1	5	6	0	2	7	3	3	0	14	0	5	1	3	4	0	3	1	4	3	0	2	5	1	2	2	8	2	6	3	3	4	0	2	0	1	4	1	1	2	3	0	1	3	1	1	0	1	1	2	3	3	0	7	2	0	2	4	3	4	1	2	2	2	2	1	6	3	3	1	0	1	0	1	3	0	3	1	3	10	5	3	12	2	0	8	3	2	1	2	3	3	0	1	2	3	2	2	1	1	0	1	1	0	3	0	10	0	1	5	0	1	1	3	2	4	3	1	7	13	0	1	2	7	2	3	0	1	1	4	4	2	2	2	2	3	4	5	5	0	3	5	4	8	4	4	4	2	2	10	2	2	1	11	3	3	1	2	3	3	1	1	6	0	1	3	4	0	0	4	10	2	1	0	0	4	8	2	1	3	2	1	1	0	2	4	2	4	3	4	5	1
Δίσκοι Μουσικής στο Χρόνο	0	0	0	0	3	0	2	0	9	1	3	11	4	0	2	1	0	2	0	0	0	0	1	0	0	0	19	0	11	6	2	0	0	0	0	0	0	0	1	0	2	0	2	3	1	7	12	4	0	0	3	0	0	1	0	19	0	1	6	0	0	1	1	0	2	2	0	0	2	0	5	0	0	2	2	0	26	0	0	1	13	3	0	8	0	0	14	11	2	1	0	9	3	0	0	0	0	1	1	0	2	3	1	6	18	0	5	0	78	0	6	0	0	4	1	0	0	0	0	11	1	4	0	0	0	0	2	1	2	0	1	0	66	6	9	14	10	0	0	0	1	9	0	1	22	0	1	0	0	16	1	3	2	2	6	1	17	1	0	0	0	20	12	0	11	9	0	10	3	0	1	22	0	0	2	0	0	1	1	0	1	0	3	0	2	2	1	1	4	0	1	1	151	7	0	0	0	0	12	0	0	2	0	14	36	0	4	5	2	1	3	0	2	1	2	8	0	10	7	9	2	2	0	0	10	0	2	0	1	0	0	1	1	3	0	0	0	0	0	1	0	0	1	1	0	0	2	9	0	0	4	29	1	0	0	12	1	0	0	0	14	0	0	3	1	0	0	19	1	0	6	3	0	1	0	3	3	0	8	2	3	1	0	0	3	5	38	0	0	3	2	0	2	0	0	5	10	0	0	1	3	3	4	3	7	0	0	0	12	12	13	8	0	0	0	1	3	0	0	6	0	0	0	0	0	0	0	8	0	6	0	0	1	5	1	7	1	0	0	1	2	8	2	0	1	2	0	3	5	0	1	0	2	14	4	0	2	14	0	4	10	0	1	42	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	1	6	10	1	0	2	0	0	1	2	0	1	1	3	1	0	3	0	0	0	0	0	0	0	0	1	17	0	1	0	0	1	7	3	1	66	0	0	2	3	11	1	2	7	0	0	7	22	1	0	2	0	0	0	6	4	2	0	2	0	1	1	0	3	0	0	0	0	8	2	0	0	0	4	5	17	0	7	6	0	3	13	4	0	1	0	7	1	0	2	9	12	11	0	0	0	7	14	3	0	0	1	10	0	0	1	1	1	0	6	0	0	1	4	1	0	1	3	0	0	0
